index,entry,name,equation,enzyme,equation_no_coeff
6359,rn:R07330,S-adenosyl-L-methionine:catechol O-methyltransferase,C00019 + C15571 <=> C00021 + C15572,2.1.1.6,C00019+C15571<=>C00021+C15572
6360,rn:R07332,UDP-glucose:isoflavone 7-O-beta-D-glucosyltransferase,C00029 + C00799 <=> C00015 + C04074,2.4.1.170,C00029+C00799<=>C00015+C04074
6361,rn:R07333,UDP-glucose:flavanone 7-O-beta-D-glucosyltransferase,C00029 + C00766 <=> C00015 + C04007,2.4.1.185,C00029+C00766<=>C00015+C04007
6362,rn:R07334,UDP-N-acetyl-D-glucosamine:beta-D-glucuronosyl-(1->4)-N-acetyl-alpha-D-glucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase,C15573 + C00043 <=> C00015 + C15574,2.4.1.224,C15573+C00043<=>C00015+C15574
6363,rn:R07335,UDP-alpha-D-glucuronate:N-acetyl-alpha-D-glucosaminyl-(1->4)-beta-D-glucuronosyl-proteoglycan 4-beta-glucuronosyltransferase,C00167 + C15575 <=> C00015 + C15576,2.4.1.225,C00167+C15575<=>C00015+C15576
6364,rn:R07336,alpha-D-glucuronate:N-acetyl-beta-D-galactosaminyl-(1->4)-beta-D-glucuronosyl-proteoglycan 3-beta-glucuronosyltransferase,C00167 + C15577 <=> C00015 + C15578,2.4.1.226,C00167+C15577<=>C00015+C15578
6365,rn:R07337,UDP-L-rhamnose:flavanone-7-O-glucoside 2''-O-beta-L-rhamnosyltransferase,C02199 + C04007 <=> C00015 + C15579,2.4.1.236,C02199+C04007<=>C00015+C15579
6366,rn:R07338,UDP-glucose:flavonol 7-O-beta-D-glucosyltransferase,C00029 + C01495 <=> C00015 + C15580,2.4.1.237,C00029+C01495<=>C00015+C15580
6367,rn:R07339,UDP-glucose:flavonol-3-O-glucoside 2''-O-beta-D-glucosyltransferase,C00029 + C03946 <=> C00015 + C15581,2.4.1.239,C00029+C03946<=>C00015+C15581
6368,rn:R07340,UDP-glucose:flavonol-3-O-beta-D-glucosyl-(1->2)-beta-D-glucoside 2'''-O-beta-D-glucosyltransferase,C00029 + C15581 <=> C00015 + C15582,2.4.1.240,C00029+C15581<=>C00015+C15582
6369,rn:R07341,nucleotide:nucleoside 5'-phosphotransferase,C00215 + C02269 <=> C00801 + C00676,2.7.1.77,C00215+C02269<=>C00801+C00676
6370,rn:R07342,aryl-ester hydrolase,C15583 + C00001 <=> C15584 + C00033,3.1.1.2,C15583+C00001<=>C15584+C00033
6371,rn:R07343,myo-inositol-phosphate phosphohydrolase,C15585 + C00001 <=> C00137 + C00009,3.1.3.25,C15585+C00001<=>C00137+C00009
6372,rn:R07344,flavanone lyase (decyclizing),C15589 <=> C00766,5.5.1.6,C15589<=>C00766
6373,rn:R07345,reduced-(S)-usnate:NAD+ oxidoreductase (ether-bond-forming),C10101 + C00004 + C00080 <=> C15591 + C00003,1.1.1.199,C10101+C00004+C00080<=>C15591+C00003
6374,rn:R07346,D-glucitol:NADP+ oxidoreductase,C00794 + C00006 <=> C00247 + C00005 + C00080,1.1.1.289,C00794+C00006<=>C00247+C00005+C00080
6375,rn:R07347,pyranose:acceptor oxidoreductase,C15592 + C00028 <=> C15593 + C00030,1.1.99.29,C15592+C00028<=>C15593+C00030
6376,rn:R07348,pyranoside:acceptor oxidoreductase,C15594 + C00028 <=> C15595 + C00030,1.1.99.29,C15594+C00028<=>C15595+C00030
6377,rn:R07349,n-alkanal:NAD+ 2-oxidoreductase,C15596 + C00003 <=> C15597 + C00004 + C00080,1.3.1.74,C15596+C00003<=>C15597+C00004+C00080
6378,rn:R07350,n-alkanal:NADP+ 2-oxidoreductase,C15596 + C00006 <=> C15597 + C00005 + C00080,"1.3.1.74,1.3.1.102",C15596+C00006<=>C15597+C00005+C00080
6379,rn:R07351,"(2R,3R)-flavan-3-ol:NAD+ 3,4-oxidoreductase",C15598 + 2 C00003 <=> C21381 + 2 C00004 + C00080,1.3.1.77,C15598+C00003<=>C21381+C00004+C00080
6380,rn:R07352,"(2R,3R)-flavan-3-ol:NADP+ 3,4-oxidoreductase",C15598 + 2 C00006 <=> C21381 + 2 C00005 + C00080,1.3.1.77,C15598+C00006<=>C21381+C00005+C00080
6381,rn:R07353,"6-(2-Amino-2-carboxyethyl)-7,8-dioxo-7,8-dihydroquinoline-2,4-dicarboxylate:oxygen oxidoreductase (cyclizing)",C15599 + 3 C00007 <=> C00113 + 2 C00027 + 2 C00001,1.3.3.11,C15599+C00007<=>C00113+C00027+C00001
6382,rn:R07354,"5,6,7,8-tetrahydropteridine:NAD+ oxidoreductase",C05650 + C00003 <=> C05649 + C00004 + C00080,1.5.1.34,C05650+C00003<=>C05649+C00004+C00080
6383,rn:R07355,"5,6,7,8-tetrahydropteridine:NADP+ oxidoreductase",C05650 + C00006 <=> C05649 + C00005 + C00080,1.5.1.34,C05650+C00006<=>C05649+C00005+C00080
6384,rn:R07356,"2-dimethylallyl-(6aS,11aS)-3,6a,9-trihydroxypterocarpan,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (cyclizing)",C15509 + C03024 + C00007 <=> C15601 + C03161 + 2 C00001,1.14.14.135,C15509+C03024+C00007<=>C15601+C03161+C00001
6385,rn:R07357,"4-dimethylallyl-(6aS,11aS)-3,6a,9-trihydroxypterocarpan,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (cyclizing)",C15510 + C03024 + C00007 <=> C15601 + C03161 + 2 C00001,1.14.14.135,C15510+C03024+C00007<=>C15601+C03161+C00001
6386,rn:R07358,NADH:quinone oxidoreductase,C00004 + C00080 + C15602 <=> C00003 + C15603,"1.6.5.2,1.6.5.9",C00004+C00080+C15602<=>C00003+C15603
6387,rn:R07359,NADPH:quinone oxidoreductase,C00005 + C00080 + C15602 <=> C00006 + C15603,"1.6.5.2,1.6.5.10",C00005+C00080+C15602<=>C00006+C15603
6388,rn:R07360,S-prenyl-L-cysteine:oxygen oxidoreductase,C06751 + C00007 + C00001 <=> C15604 + C00097 + C00027,1.8.3.5,C06751+C00007+C00001<=>C15604+C00097+C00027
6389,rn:R07361,"1-(beta-D-ribofuranosyl)-1,4-dihydronicotinamide:quinone oxidoreductase",C15497 + C15602 <=> C03150 + C15603,1.10.5.1,C15497+C15602<=>C03150+C15603
6390,rn:R07362,"D-tryptophan:oxygen 2,3-oxidoreductase (decyclizing)",C00525 + C00007 <=> C15605,1.13.11.52,C00525+C00007<=>C15605
6391,rn:R07363,"1,2-dihydroxy-5-(methylthio)pent-1-en-3-one:oxygen oxidoreductase (formate- and CO-forming)",C15606 + C00007 <=> C08276 + C00058 + C00237,1.13.11.53,C15606+C00007<=>C08276+C00058+C00237
6392,rn:R07364,"1,2-dihydroxy-5-(methylthio)pent-1-en-3-one:oxygen oxidoreductase (formate-forming)",C15606 + C00007 <=> C01180 + C00058,1.13.11.54,C15606+C00007<=>C01180+C00058
6393,rn:R07365,sulfur:oxygen oxidoreductase (hydrogen-sulfide- and sulfite-forming),4 C00087 + 4 C00001 + C00007 <=> 2 C00283 + 2 C00094,1.13.11.55,C00087+C00001+C00007<=>C00283+C00094
6394,rn:R07366,"leucocyanidin,2-oxoglutarate:oxygen oxidoreductase",C05906 + C00026 + C00007 <=> C12316 + C00042 + C00011 + C00001,1.14.20.4,C05906+C00026+C00007<=>C12316+C00042+C00011+C00001
6395,rn:R07367,"flavanone,2-oxoglutarate:oxygen oxidoreductase (dehydrating)",C00766 + C00026 + C00007 <=> C15608 + C00042 + C00011 + C00001,1.14.20.5,C00766+C00026+C00007<=>C15608+C00042+C00011+C00001
6396,rn:R07368,"dihydroflavonol,2-oxoglutarate:oxygen oxidoreductase",C15570 + C00026 + C00007 <=> C01495 + C00042 + C00011 + C00001,1.14.20.6,C15570+C00026+C00007<=>C01495+C00042+C00011+C00001
6397,rn:R07369,"flavanone,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (3'-hydroxylating)",C00766 + C03024 + C00007 <=> C15204 + C03161 + C00001,1.14.14.81,C00766+C03024+C00007<=>C15204+C03161+C00001
6398,rn:R07370,"3'-hydroxyflavanone,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (5'-hydroxylating)",C15204 + C03024 + C00007 <=> C15609 + C03161 + C00001,1.14.14.81,C15204+C03024+C00007<=>C15609+C03161+C00001
6399,rn:R07371,"isoflavone,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (2'-hydroxylating)",C00799 + C03024 + C00007 <=> C02921 + C03161 + C00001,1.14.14.90,C00799+C03024+C00007<=>C02921+C03161+C00001
6400,rn:R07372,"cholest-5-ene-3beta,26-diol,[NADPH---hemoprotein reductase]:oxygen oxidoreductase (7alpha-hydroxylating)",C15610 + C03024 + C00007 <=> C06341 + C03161 + C00001,"1.14.14.23,1.14.14.29",C15610+C03024+C00007<=>C06341+C03161+C00001
6401,rn:R07373,"senecionine,NADPH:oxygen oxidoreductase (N-oxide-forming)",C06176 + C00005 + C00080 + C00007 <=> C15612 + C00006 + C00001,1.14.13.101,C06176+C00005+C00080+C00007<=>C15612+C00006+C00001
6402,rn:R07374,"(25R)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-oyl-CoA:acceptor 24-oxidoreductase (24R-hydroxylating)",C15613 + C00001 + C00028 <=> C15614 + C00030,1.17.99.3,C15613+C00001+C00028<=>C15614+C00030
6403,rn:R07375,S-adenosyl-L-methionine:hydroxyisoflavone 7-O-methyltransferase,C00019 + C15615 <=> C00021 + C15616,2.1.1.150,C00019+C15615<=>C00021+C15616
6404,rn:R07376,L-1-phosphatidylethanolamine:L-serine phosphatidyltransferase,C00350 + C00065 <=> C02737 + C00189,2.7.8.29,C00350+C00065<=>C02737+C00189
6405,rn:R07377,,C00157 + C00065 <=> C02737 + C00114,,C00157+C00065<=>C02737+C00114
6406,rn:R07379,plasmenylethanolamine 2-acylhydrolase,C04756 + C00001 <=> C04635 + C00060,3.1.1.4,C04756+C00001<=>C04635+C00060
6407,rn:R07380,Lysoplasmalogen ethanolamine phosphohydrolase,C04635 + C00001 <=> C15645 + C00346,3.1.4.-,C04635+C00001<=>C15645+C00346
6408,rn:R07381,Plasmenylethanolamine ethanolamine phosphohydrolase,C04756 + C00001 <=> C03454 + C00346,3.1.4.3,C04756+C00001<=>C03454+C00346
6409,rn:R07382,,C15646 + C00040 <=> C15647 + C00010,2.3.1.-,C15646+C00040<=>C15647+C00010
6410,rn:R07383,,C15647 + C00001 <=> C03454 + C00009,3.1.3.-,C15647+C00001<=>C03454+C00009
6411,rn:R07384,,C04756 + C00055 <=> C03454 + C00570,2.7.8.1,C04756+C00055<=>C03454+C00570
6412,rn:R07385,,C04756 + C00001 <=> C15647 + C00189,3.1.4.4,C04756+C00001<=>C15647+C00189
6413,rn:R07386,,C04756 + C00114 <=> C00958 + C00189,2.6.-.-,C04756+C00114<=>C00958+C00189
6414,rn:R07387,plasmanylcholine 2-acylhydrolase,C05212 + C00001 <=> C04317 + C00060,3.1.1.4,C05212+C00001<=>C04317+C00060
6415,rn:R07388,1-(1-Alkenyl)-sn-glycero-3-phosphoethanolamine ethanolaminehydrolase,C04635 + C00001 <=> C15646 + C00189,3.1.4.39,C04635+C00001<=>C15646+C00189
6416,rn:R07389,,C03201 + C00307 <=> C05212 + C00055,2.7.8.2,C03201+C00307<=>C05212+C00055
6417,rn:R07390,,2 C00344 <=> C05980 + C00116,2.7.8.-,C00344<=>C05980+C00116
6418,rn:R07392,S-methyl-5-thio-D-ribulose-1-phosphate hydro-lyase,C04582 <=> C15650 + C00001,4.2.1.109,C04582<=>C15650+C00001
6419,rn:R07393,"2,3-diketo-5-methylthiopentyl-1-phosphate keto---enol-isomerase",C15650 <=> C15651,"3.1.3.77,5.3.2.5",C15650<=>C15651
6420,rn:R07394,2-hydroxy-5-(methylthio)-3-oxopent-1-enyl phosphate phosphohydrolase,C15651 + C00001 <=> C15606 + C00009,"3.1.3.77,3.1.3.87",C15651+C00001<=>C15606+C00009
6421,rn:R07395,"5-(methylthio)-2,3-dioxopentyl-phosphate phosphohydrolase (isomerizing)",C15650 + C00001 <=> C15606 + C00009,3.1.3.77,C15650+C00001<=>C15606+C00009
6422,rn:R07396,,C01180 + C00025 <=> C00073 + C00026,"2.6.1.5,2.6.1.57",C01180+C00025<=>C00073+C00026
6423,rn:R07397,UDP-N-acetyl-D-glucosamine:beta-D-glucuronosyl-(1->3)-beta-D-galactosyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-xylosyl-proteoglycan;||4IV-alpha-N-acetyl-D-glucosaminyltransferase,C00043 + C04903 <=> C00015 + C15656,2.4.1.223,C00043+C04903<=>C00015+C15656
6424,rn:R07398,glycoprotein-phosphatidylinositol phosphatidohydrolase,C04248 + C00001 <=> C15658 + C00416,3.1.4.50,C04248+C00001<=>C15658+C00416
6425,rn:R07399,,C00024 + C00022 + C00001 <=> C02612 + C00010,2.3.1.182,C00024+C00022+C00001<=>C02612+C00010
6426,rn:R07400,cephalosporin C:oxygen oxidoreductase (deaminating),C00916 + C00001 + C00007 <=> C04712 + C00014 + C00027,1.4.3.3,C00916+C00001+C00007<=>C04712+C00014+C00027
6427,rn:R07401,,C04712 + C00027 <=> C15666 + C00011 + C00001,,C04712+C00027<=>C15666+C00011+C00001
6428,rn:R07402,(7R)-7-(4-carboxybutanamido)cephalosporanate amidohydrolase,C15666 + C00001 <=> C07756 + C00489,3.5.1.93,C15666+C00001<=>C07756+C00489
6429,rn:R07403,"indole,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (2-hydroxylating)",C00463 + C03024 + C00007 <=> C12312 + C03161 + C00001,1.14.14.153,C00463+C03024+C00007<=>C12312+C03161+C00001
6430,rn:R07404,5-amino-1-(5-phospho-D-ribosyl)imidazole:carbon-dioxide ligase (ADP-forming),C00002 + C03373 + C00288 <=> C00008 + C00009 + C15667,6.3.4.18,C00002+C03373+C00288<=>C00008+C00009+C15667
6431,rn:R07405,5-carboxyamino-1-(5-phospho-D-ribosyl)imidazole carboxymutase,C15667 <=> C04751,5.4.99.18,C15667<=>C04751
6432,rn:R07406,,C07335 <=> C11638 + C00011,1.1.1.262,C07335<=>C11638+C00011
6433,rn:R07407,L-aspartate:NADP+ oxidoreductase (deaminating),C00049 + C00006 <=> C05840 + C00005 + C00080,1.4.1.21,C00049+C00006<=>C05840+C00005+C00080
6434,rn:R07408,,C00555 <=> C15668 + C00001,2.6.1.82,C00555<=>C15668+C00001
6435,rn:R07409,"choline,reduced-ferredoxin:oxygen oxidoreductase",C00114 + C00007 + 2 C00138 + 2 C00080 <=> C00576 + 2 C00001 + 2 C00139,1.14.15.7,C00114+C00007+C00138+C00080<=>C00576+C00001+C00139
6436,rn:R07410,L-aspartate:NAD+ oxidoreductase (deaminating),C00049 + C00003 <=> C05840 + C00004 + C00080,1.4.1.21,C00049+C00003<=>C05840+C00004+C00080
6437,rn:R07411,"(2E,6E)-farnesyl-diphosphate:protoheme IX farnesyltranstransferase",C00032 + C00001 + C00448 <=> C15672 + C00013,2.5.1.141,C00032+C00001+C00448<=>C15672+C00013
6438,rn:R07412,,C15672 <=> C15670,,C15672<=>C15670
6439,rn:R07413,,C02273 + C00001 <=> 2 C00333,3.2.1.67,C02273+C00001<=>C00333
6440,rn:R07414,glutamate putrescine ligase,C00002 + C00025 + C00134 <=> C00008 + C00009 + C15699,6.3.1.11,C00002+C00025+C00134<=>C00008+C00009+C15699
6441,rn:R07415,,C15699 + C00001 + C00007 <=> C15700 + C00014 + C00027,1.4.3.-,C15699+C00001+C00007<=>C15700+C00014+C00027
6442,rn:R07416,N-Methylanthranilate:CoA ligase (AMP-forming),C00002 + C03005 + C00010 <=> C00020 + C00013 + C12092,6.2.1.32,C00002+C03005+C00010<=>C00020+C00013+C12092
6443,rn:R07417,4-(gamma-L-glutamylamino)butanal:NAD+ oxidoreductase,C15700 + C00003 + C00001 <=> C15767 + C00004 + C00080,1.2.1.99,C15700+C00003+C00001<=>C15767+C00004+C00080
6444,rn:R07418,4-(gamma-L-glutamylamino)butanal:NADP+ oxidoreductase,C15700 + C00006 + C00001 <=> C15767 + C00005 + C00080,1.2.1.99,C15700+C00006+C00001<=>C15767+C00005+C00080
6445,rn:R07419,4-(gamma-L-glutamylamino)butanoate amidohydrolase,C15767 + C00001 <=> C00334 + C00025,3.5.1.94,C15767+C00001<=>C00334+C00025
6446,rn:R07420,,C02305 <=> C00791 + C00009,,C02305<=>C00791+C00009
6447,rn:R07421,"indolin-2-one,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (3-hydroxylating)",C12312 + C03024 + C00007 <=> C11130 + C03161 + C00001,1.14.14.157,C12312+C03024+C00007<=>C11130+C03161+C00001
6448,rn:R07422,"3-hydroxyindolin-2-one,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (2-hydroxy-2H-1,4-benzoxazin-3(4H)-one-forming)",C11130 + C03024 + C00007 <=> C15769 + C03161 + C00001,1.14.14.109,C11130+C03024+C00007<=>C15769+C03161+C00001
6449,rn:R07423,"2-hydroxy-2H-1,4-benzoxazin-3(4H)-one,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (N-hydroxylating)",C15769 + C03024 + C00007 <=> C15770 + C03161 + C00001,1.14.14.110,C15769+C03024+C00007<=>C15770+C03161+C00001
6450,rn:R07426,UDP-glucose:DIBOA 2-D-glucosyltransferase,C00029 + C15770 <=> C00015 + C15772,2.4.1.202,C00029+C15770<=>C00015+C15772
6451,rn:R07427,Delta5-3-ketosteroid isomerase,C01789 <=> C15784,,C01789<=>C15784
6452,rn:R07428,3-beta-hydroxysteroid dehydrogenase,C15784 + C00003 <=> C15785 + C00004 + C00080,,C15784+C00003<=>C15785+C00004+C00080
6453,rn:R07429,5alpha-campestan-3-one:NADP+ delta4-oxidoreductase,C15785 + C00005 + C00080 <=> C15786 + C00006,1.3.1.22,C15785+C00005+C00080<=>C15786+C00006
6454,rn:R07430,"6-Oxocampestanol,NADPH:brassinosteroid C22alpha-hydroxylase",C15789 + C00007 + C00005 <=> C15790 + C00006 + C00001,1.14.13.-,C15789+C00007+C00005<=>C15790+C00006+C00001
6455,rn:R07431,6-Deoxo-cathasterone:brassinosteroid C23alpha-hydroxylase,C15790 + C00007 + C00030 <=> C15791 + C00001 + C00028,1.14.-.-,C15790+C00007+C00030<=>C15791+C00001+C00028
6456,rn:R07432,p-coumaroyl-CoA:quinate hydroxycinnamoyltransferase,C00223 + C00296 <=> C00010 + C12208,2.3.1.133,C00223+C00296<=>C00010+C12208
6457,rn:R07433,5-O-caffeoylshikimic acid:shikimate hydroxycinnamoyltransferase,C10434 + C00010 <=> C00323 + C00493,2.3.1.133,C10434+C00010<=>C00323+C00493
6458,rn:R07436,p-coumaroyl-CoA:caffeoyl-CoA 3-hydroxylase,C00223 <=> C00323,1.14.13.-,C00223<=>C00323
6459,rn:R07437,4-coumaryl alcohol:NADP+ oxidoreductase,C05608 + C00005 + C00080 <=> C02646 + C00006,1.1.1.195,C05608+C00005+C00080<=>C02646+C00006
6460,rn:R07440,,C01494 + C00005 + C00080 + C00007 <=> C05619 + C00006 + C00001,1.14.13.-,C01494+C00005+C00080+C00007<=>C05619+C00006+C00001
6461,rn:R07441,sinapoyl aldehyde:NAD oxidoreductase,C05610 + C00003 + C00001 <=> C00482 + C00004 + C00080,1.2.1.68,C05610+C00003+C00001<=>C00482+C00004+C00080
6462,rn:R07442,sinapoyl aldehyde:NADP oxidoreductase,C05610 + C00006 + C00001 <=> C00482 + C00005 + C00080,1.2.1.68,C05610+C00006+C00001<=>C00482+C00005+C00080
6463,rn:R07443,donor:hydrogen-peroxide oxidoreductase,C12205 <=> C15807,"1.11.1.7,1.11.1.21",C12205<=>C15807
6464,rn:R07444,Teasterone:brassinosteroid C3-oxidoreductase,C15791 <=> C15792,1.14.-.-,C15791<=>C15792
6465,rn:R07445,"Campesterol,NADPH:brassinosteroid C22alpha-hydroxylase",C01789 + C00007 + C00005 <=> C15795 + C00006 + C00001,1.14.13.-,C01789+C00007+C00005<=>C15795+C00006+C00001
6466,rn:R07446,"22alpha-Hydroxy-campesterol:3-oxosteroid Delta5-Delta4-isomerase,NAD+ 3-oxidoreductase",C15795 <=> C15796,,C15795<=>C15796
6467,rn:R07447,22alpha-hydroxy-5alpha-campestan-3-one:NADP+ delta4-oxidoreductase,C15796 + C00005 + C00080 <=> C15797 + C00006,1.3.1.22,C15796+C00005+C00080<=>C15797+C00006
6468,rn:R07448,6-Deoxocathasterone:brassinosteroid C23alpha-hydroxylase,C15798 + C00007 <=> C15799 + C00001,1.14.-.-,C15798+C00007<=>C15799+C00001
6469,rn:R07449,6-Deoxoteasterone:brassinosteroid C3-oxidoreductase,C15799 <=> C15800,1.14.-.-,C15799<=>C15800
6470,rn:R07450,"6-deoxocastasterone,NADPH---hemoprotein reductase:oxygen oxidoreductase (6alpha-hydroxylating)",C15802 + C00007 + C03024 <=> C15803 + C00001 + C03161,1.14.-.-,C15802+C00007+C03024<=>C15803+C00001+C03161
6471,rn:R07451,"6alpha-hydroxy-castasterone,NADPH---hemoprotein reductase:oxygen 6-oxidoreductase",C15803 + C00007 + C03024 <=> C15794 + 2 C00001 + C03161,1.14.-.-,C15803+C00007+C03024<=>C15794+C00001+C03161
6472,rn:R07452,"Campest-4-en-3-one,NADPH:brassinosteroid C22alpha-hydroxylase",C15785 + C00007 + C00005 <=> C15796 + C00006 + C00001,1.14.13.-,C15785+C00007+C00005<=>C15796+C00006+C00001
6473,rn:R07453,"5alpha-Campestan-3-one,NADPH:brassinosteroid C22alpha-hydroxylase",C15786 + C00007 + C00005 <=> C15797 + C00006 + C00001,1.14.13.-,C15786+C00007+C00005<=>C15797+C00006+C00001
6474,rn:R07454,"Campesterol,NADPH:brassinosteroid C22alpha-hydroxylase",C15787 + C00007 + C00005 <=> C15798 + C00006 + C00001,1.14.13.-,C15787+C00007+C00005<=>C15798+C00006+C00001
6475,rn:R07455,"6-deoxoteasterone,NADPH---hemoprotein reductase:oxygen oxidoreductase (teasterone-forming)",C15799 + 2 C00007 + 2 C03024 <=> C15791 + 3 C00001 + 2 C03161,1.14.-.-,C15799+C00007+C03024<=>C15791+C00001+C03161
6476,rn:R07456,"D-ribulose 5-phosphate,D-glyceraldehyde 3-phosphate pyridoxal 5'-phosphate-lyase",C00118 + C00199 + C00064 <=> C00018 + C00025 + C00009 + 3 C00001,4.3.3.6,C00118+C00199+C00064<=>C00018+C00025+C00009+C00001
6477,rn:R07457,"3-dehydro-6-deoxoteasterone,NADPH---hemoprotein reductase:oxygen oxidoreductase (3-dehydroteasterone-forming)",C15800 + 2 C00007 + 2 C03024 <=> C15792 + 3 C00001 + 2 C03161,1.14.-.-,C15800+C00007+C03024<=>C15792+C00001+C03161
6478,rn:R07458,"6-deoxotyphasterol,NADPH---hemoprotein reductase:oxygen oxidoreductase (typhasterol-forming)",C15801 + 2 C00007 + 2 C03024 <=> C15793 + 3 C00001 + 2 C03161,1.14.-.-,C15801+C00007+C03024<=>C15793+C00001+C03161
6479,rn:R07459,ATP:[sulfur-carrier protein] adenylyltransferase,C15810 + C00002 <=> C15813 + C00013,"2.7.7.73,2.7.7.80",C15810+C00002<=>C15813+C00013
6480,rn:R07460,L-cysteine:[enzyme]-cysteine sulfurtransferase,C15811 + C00097 <=> C15812 + C00041,2.8.1.7,C15811+C00097<=>C15812+C00041
6481,rn:R07461,[enzyme]-S-sulfanyl-L-cysteine:adenylyl-[sulfur-carrier protein] sulfurtransferase,C15812 + C15813 + C00030 <=> C00020 + C15814 + C15811 + C00028,"2.8.1.4,2.8.1.11",C15812+C15813+C00030<=>C00020+C15814+C15811+C00028
6482,rn:R07463,glycine:oxygen oxidoreductase,C00037 + C00007 <=> C15809 + C00027,1.4.3.19,C00037+C00007<=>C15809+C00027
6483,rn:R07466,,C15786 <=> C15787,,C15786<=>C15787
6484,rn:R07467,,C15787 + C00007 + C00030 <=> C15788 + C00001 + C00028,,C15787+C00007+C00030<=>C15788+C00001+C00028
6485,rn:R07468,,C15788 <=> C15789,,C15788<=>C15789
6486,rn:R07469,,C15792 <=> C15793,,C15792<=>C15793
6487,rn:R07470,"typhasterol,NADPH:oxygen oxidoreductase (2alpha-hydroxylating)",C15793 + C00005 + C00080 + C00007 <=> C15794 + C00006 + C00001,1.14.-.-,C15793+C00005+C00080+C00007<=>C15794+C00006+C00001
6488,rn:R07471,,C15794 <=> C08814,1.14.-.-,C15794<=>C08814
6489,rn:R07472,,C15797 <=> C15798,,C15797<=>C15798
6490,rn:R07473,,C15800 <=> C15801,,C15800<=>C15801
6491,rn:R07474,"6-deoxotyphasterol,NADPH:oxygen oxidoreductase (2alpha-hydroxylating)",C15801 + C00005 + C00080 + C00007 <=> C15802 + C00006 + C00001,1.14.-.-,C15801+C00005+C00080+C00007<=>C15802+C00006+C00001
6492,rn:R07475,geranylgeranyl-diphosphate:isopentenyl-diphosphate transtransferase,C00353 + C00129 <=> C04217 + C00013,2.5.1.81,C00353+C00129<=>C04217+C00013
6493,rn:R07476,(2R)-O-phospho-3-sulfolactate sulfo-lyase,C11536 <=> C00094 + C00074,4.4.1.19,C11536<=>C00094+C00074
6494,rn:R07477,spermidine:NAD+ oxidoreductase,C00315 + C00003 <=> C15853 + C00004 + C00080,2.5.1.46,C00315+C00003<=>C15853+C00004+C00080
6495,rn:R07478,[eIF5A-precursor]-deoxyhypusine:NAD+ oxidoreductase,C15854 + C00004 + C00080 <=> C07282 + C00003,2.5.1.46,C15854+C00004+C00080<=>C07282+C00003
6496,rn:R07479,dehydrospermidine:[enzyme]-lysine N-4-aminobutylidenetransferase,C15853 + C07281 <=> C15854 + C00986,2.5.1.46,C15853+C07281<=>C15854+C00986
6497,rn:R07480,N-(4-aminobutylidene)-[enzyme]-lysine:[eIF5A-precursor]-lysine N-4-aminobutylidenetransferase,C15854 + C07281 <=> C15854 + C07281,2.5.1.46,C15854+C07281<=>C15854+C07281
6498,rn:R07481,,C01902 + C00019 <=> C08830 + C00021,2.1.1.41,C01902+C00019<=>C08830+C00021
6499,rn:R07483,,C11508 + C00005 + C00080 <=> C15776 + C00006,1.3.1.70,C11508+C00005+C00080<=>C15776+C00006
6500,rn:R07484,,C15776 <=> C11522,5.3.3.5,C15776<=>C11522
6501,rn:R07486,"delta7-avenasterol,ferrocytochrome b5:oxygen oxidoreductase 5,6-dehydrogenating",C15782 + 2 C00999 + C00007 + 2 C00080 <=> C15783 + 2 C00996 + 2 C00001,1.14.19.20,C15782+C00999+C00007+C00080<=>C15783+C00996+C00001
6502,rn:R07487,,C15783 <=> C08821,1.3.1.21,C15783<=>C08821
6503,rn:R07488,,C08821 + C00005 + C00080 <=> C01753 + C00006,1.3.1.-,C08821+C00005+C00080<=>C01753+C00006
6504,rn:R07489,"beta-sitosterol,NADPH:oxygen oxidoreductase (22,23-dehydrogenating)",C01753 + C00005 + C00080 + C00007 <=> C05442 + C00006 + 2 C00001,1.14.19.41,C01753+C00005+C00080+C00007<=>C05442+C00006+C00001
6505,rn:R07491,"episterol,ferrocytochrome b5:oxygen oxidoreductase 5,6-dehydrogenating",C15777 + 2 C00999 + C00007 + 2 C00080 <=> C15780 + 2 C00996 + 2 C00001,1.14.19.20,C15777+C00999+C00007+C00080<=>C15780+C00996+C00001
6506,rn:R07492,,C15780 <=> C15781,1.3.1.21,C15780<=>C15781
6507,rn:R07493,,C15781 + C00005 + C00080 <=> C01789 + C00006,1.3.1.-,C15781+C00005+C00080<=>C01789+C00006
6508,rn:R07494,,C15808 + C00006 <=> C15816 + C00005 + C00080 + C00011,1.1.1.170,C15808+C00006<=>C15816+C00005+C00080+C00011
